config,software,version
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/a/AdapterRemoval/AdapterRemoval-2.2.2-foss-2018b.eb,AdapterRemoval,2.2.2
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/b/Bandage/Bandage-0.9.0-GCCcore-11.3.0.eb,Bandage,0.9.0
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/b/barrnap/barrnap-0.9-GCC-8.2.0-2.31.1.eb,barrnap,0.9
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/b/bcl-convert/bcl-convert-4.2.7-2el7.x86_64.eb,bcl-convert,4.2.7
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/b/bcl-convert/bcl-convert-4.0.3-2el7.x86_64.eb,bcl-convert,4.0.3
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/b/Boost/Boost-1.85.0-GCC-13.3.0.eb,Boost,1.85.0
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/b/Boost/Boost-1.68.0-intel-2018b-Python-3.6.6.eb,Boost,1.68.0
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/b/Bowtie/Bowtie-1.3.0-GCC-10.2.0.eb,Bowtie,1.3.0
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/b/breseq/breseq-0.38.1-foss-2022a.eb,breseq,0.38.1
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/b/breseq/breseq-0.35.0-intel-2019a-R-3.6.0.eb,breseq,0.35.0
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/b/BUSCO/BUSCO-5.0.0-foss-2020b.eb,BUSCO,5.0.0
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/b/BUSCO/BUSCO-5.4.7-foss-2022b.eb,BUSCO,5.4.7
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/c/canu/canu-1.7-intel-2018a.eb,canu,1.7
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/c/canu/canu-1.8-GCCcore-8.2.0-Perl-5.28.1.eb,canu,1.8
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/c/canu/canu-2.2-GCC-12.2.0.eb,canu,2.2
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/c/CD-HIT/CD-HIT-4.6.8-intel-2018a.eb,CD-HIT,4.6.8
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/c/Centrifuge/Centrifuge-1.0.4-beta-gompi-2020a.eb,CD-HIT,1.0.4
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/c/Centrifuge/Centrifuge-1.0.4-gompi-2021a.eb,Centrifuge,1.0.4
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/c/chewBBACA/chewBBACA-2.5.5-intel-2020a-Python-3.8.2.eb,chewBBACA,2.5.5
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/c/Circlator/Circlator-1.5.5-foss-2023a.eb,Criclator,1.5.5
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/c/ClonalFrameML/ClonalFrameML-1.11-foss-2016b.eb,ClonalFrameML,1.11
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/d/datamash/datamash-1.3-foss-2018a.eb,datamash,1.3
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/d/dorado/dorado-0.3.1-foss-2022a-CUDA-11.7.0.eb,dorado,0.3.1
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/d/dorado/dorado-0.5.1-foss-2022a-CUDA-11.7.0.eb,dorado,0.5.1
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/d/dorado/dorado-0.5.3-foss-2022a-CUDA-11.7.0.eb,dorado,0.5.3
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/e/EMBOSS/EMBOSS-6.6.0-GCC-8.2.0-2.31.1.eb,EMBOSS,6.6.0
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/f/FASTA/FASTA-36.3.5e-foss-2016b.eb,FASTA,36.3.5e
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/f/FastTree/FastTree-2.1.10-intel-2018b.eb,FastTree,2.1.10
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/f/Filtlong/Filtlong-0.2.1-GCC-10.3.0.eb,Filtlong,0.2.1
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/f/flye/Flye-2.6-intel-2019b-Python-3.7.4.eb,flye,2.6
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/f/flye/Flye-2.8.3-GCC-10.2.0.eb,flye,2.8.3
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/f/flye/Flye-2.9-GCC-10.3.0.eb,flye,2.9
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/g/GATK/GATK-3.7-Java-1.8.0_112.eb,GATK,3.7
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/g/GLIMMER/GLIMMER-3.02b-foss-2016b.eb,GLIMMER,3.02b
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/g/GLIMMER/GLIMMER-3.02b-foss-2018b.eb,GLIMMER,3.02b
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/g/gnuplot/gnuplot-5.0.3-intel-2016a.eb,gnuplot,5.0.3
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/h/HMMER/HMMER-3.1b2-GCC-6.4.0-2.28.eb,HMMER,3.1b2
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/h/HMMER/HMMER-3.4-gompi-2023a.eb,HMMER,3.4
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/h/HTSlib/HTSlib-1.8-GCC-6.4.0-2.28.eb,HTSlib,1.8
